id,title
recAyNphNXcFdeBdv,Birth of Judah
recebg3uMMRi5kehC,Birth of Dan
reciXEy2Dh8v1ZMgx,Birth of Naphtali
recjP69Rr334GwfCD,Birth of Gad
recyHq1K0jXfzoxSG,Birth of Asher
rec7UNUOWD8T8j0H7,Birth of Issachar
rec79Sud9E887BhRT,Birth of Zebulon
rec8lxfZ0sKEUfPfi,Birth of Dinah
recZDLkLCBpaZjV7D,Birth of Joseph
recj8qDYwzBEfwBAa,Lifetime of Joseph
recueVlIF65sLlqSO,Rachel dies giving birth to Benjamin
recNE3SvBrPoTRiMS,Joseph sold to Egypt
recJRhLZWXyofMii6,Birth of Perez
rechIcTdBsoSsooEI,Birth of Job
recq4rk0MUq6acKxS,Lifetime of Job
recqKt1B6fiiSKrK6,Joseph imprisoned
recnTimjDqmxMYqRZ,Death of Isaac
recD7RqjeIpsJAoBc,Joseph Promoted in Egypt
recZlsev4ThVh4o6I,7 years of plenty
rec85BvWuap3CDiMT,7 years of famine
rec1ryOcznIUObhW7,Joseph's brothers go to Egypt
rec2Vbu9LcbJesuS0,Joseph's brothers return to Egypt
recwCFb0NhrYMkl8t,Death of Jacob
recMNT9RB1RJiLlYW,Job's Trial
recPAzttalK45wnXd,Death of Joseph
rect0K24pgi8HBlvL,Death of Job
rec6atQ3as7Qj2n5d,Birth of Moses
recJOhn4C4yKIJmvH,Lifetime of Moses
recwofVaBASTvL8lL,Moses Flees Pharaoh
recynRwNAbtX5ShQ7,Birth of Caleb
rechguBS4b9kXx3z3,Lifetime of Joshua
recjkmUO88wihv8Ci,Exodus from Egypt
recr71Fz4NHTnGLJ2,Wilderness Wanderings
reca8LvAmFPl1tmnN,Ten Commandments Given
recvA947nCyo8kadV,Tabernacle Built
recxj71m6XPSaqIg2,Death of Moses
recSF4lyBebGjJEXI,Crossing the Jordan into Canaan
rec0t3McGWoyd6kTB,War with Canaanites
rec91XeIAmvH5rhav,Dividing the land
recnPiyyKviVUPHO6,Death of Joshua
recEpl6nDyA0TWVdW,Subjugation by Cushan-rishathaim
recUvk5tT0xGxR71o,Deliverance by Othniel
recG0Smwr0v3S7ShM,Subjugation by Eglon
recxl5FkotW1u50nA,Deliverance by Ehud
rec07gtJgfa7skhaQ,Subjugation by Jabin
recoroJg305CLphtu,Deliverance by Barak And Deborah
recNAaoS2dLaYGVgh,Subjugation by Midian
recD6xiJWvESO0Wea,Deliverance by Gideon
recNLSBgKYUyByJwa,Usurpation by Abimelech
recWw6t8usixUbFOU,Judgeship of Tola
rec7nesNMNffYRe3F,Oppression by Ammon and Philistia
rec3z1OqSDMH0rR7y,Judgeship of Eli
recAfJj3Pv6wRG2nj,Deliverance by Jephthah
reczOHadpTVOuiidp,Judgeship of Ibzan
recSRPo1LlWZ7tNaO,Philistine Dominion
recGFZbQIjuGwXtTy,Judgeship of Elon
rec4qaEmaRCFty5tl,Birth of Saul
recoKV71uxsJeHTWW,Judgeship of Abdon
recS77B5S6Jfdq5a3,"Death of Eli, Ark Captured"
rec24EmrBZzGvOD2U,Judgeship of Samson
reccUeZb53JJ02Lv9,Sampson destroys Temple of Dagon
recKRsEFLaEueJvei,Reign of Saul
rec3uYdP5Fca5BJfX,United Kingdom
rec9JB5FY6jMOyEY3,David Kills Goliath
recXDTsDBCG9DaiGN,Death of Saul
reczzYTmzPPDcP3qv,Reign of David
rec3TOdsAxCr5ADHA,Death of David
recKTbnO8VY7lXLeX,Reign of Solomon
recYlpu8OdsUJoG8g,Construction of Solomon's Temple
rec5W0YtPdi4yrvaY,Southern Kingdom (Judah)
rec3u4dUBOoBi5pUx,Death of Solomon
recX0KzMJywvbeM6D,Reign of Rehoboam
rec3R4qyFlVjCRORt,Northern Kingdom (Israel)
rec824qPcsyF7GtTh,Reign of Jeroboam I
recDK5FF0d1qrz8sn,Reign of Abijam
recfIqDLtdCqz7N3V,Death of Abijam
recmEKC9vgAJDYa2z,Reign of Asa
recoThUM3VEzmvB2Y,Reign of Nadab
recDnpywTo9ng7E08,Reign of Baasha
reczLjmDT8D3PwoN1,Reign of Elah
rechi0erUTQ1OpSfg,Reign of Zimri
recAPL3crxsLpriXj,Reign of Tibni
recbKVjuSUpIxKCDm,Reign of Omri
recT4xyx6gO1r4MMQ,Death of Tibni
rec44ed0m1pZUujzb,Reign of Ahab
recPUkfMfzeKFMWT7,Death of Omri
reczE7xS17Z9mHerq,Death of Asa
recHolFWoWqNqtmup,Reign of Jehoshaphat
recRiyMlpGQNCIZvm,Prophecies of Elijah
recswFKDMGbMahY8n,Death of Jehoshaphat
rec6ssNxDhVqVIQb5,Reign of Ahaziah
recD1Gv4SKNFG3zPa,Elijah Translated
recCh323mcqdG01EW,Prophecies of Elisha
receNV351SLbofU0a,Reign of Joram
recb9vQAySe8NXtZn,Reign of Jehoram
rec8neSzth86PNqvR,Reign of Ahaziah (Jehoahaz)
reck6rXD9hZiDk0Kz,Reign of Jehu
recrLA9xtcQ35mLv1,Reign of Athaliah
recqa3Rn2VGAUlDtq,Death of Jehoram
recwy2j4O3x7NcWz5,Reign of Joash
rectK1BIzsiRL5n6U,Death of Jehu
rec8OzyADaljQSqmd,Reign of Jehoahaz
recz99BZY6sWTR2SI,Death of Jehoahaz
rec70XpPIr8MiLTVb,Reign of Jehoash
rec75MawjODD5ju3b,Reign of Amaziah
recGe7VTJOGbn63NQ,Reign of Jeroboam II
recKICyY8GrWaYCq3,Prophecies of Jonah
recsgU87rUrPKR9uA,Death of Jehoahash
rec6VtctTK9zZ5UxZ,Prophecies of Joel
recdPHV2xNXFj2JT0,Death of Amaziah
recOJfWD0IUcT4yJD,Reign of Uzziah
rec0MJooZFfHsxW1N,Prophecies of Amos
recekTocE5mIkvDEk,Prophecies of Hosea
recFQnWRST9SS0RRp,Death of Jeroboam II
recUQaOuprbt82K3O,Reign of Zachariah
recmYpqEy1fUpISEt,Reign of Shallum
recWsgJ5fuSjjOZsT,Death of Zachariah
recZM1zHaLFcWOORu,Death of Shallum
recKk6oSdN570sACg,Reign of Menahem
recJTYIqu2oNs58Lc,Death of Menahem
recQRI9PzXBoW4QVD,Reign of Pekahiah
recfHf480bxdzn4Io,Death of Pekahiah
recuwnodcdBQpgk6J,Reign of Pekah
recQ1bj3p4Lj5MYY6,Prophecies of Isaiah
rechq7jRwzAypqM7H,Death of Uzziah
recEOMPybxT6g8y8E,Reign of Jotham
recOQgYeMRMqQbIMe,Prophecies of Micah
recglW6zUkkgDVPt9,Reign of Ahaz
recbJqPiE3mvFuUvn,Death of Jotham
recOeT5LUf2J1nFXw,Death of Pekah
recj8DXN0Leolmr8O,Reign of Hoshea
recCU4JFzMUcVRqAd,Death of Ahaz
recRusMYR5At9TlEV,Reign of Hezekiah
recxfNLfmrK6uzfSb,Death of Hezekiah
rece9FgMugc1bp3tG,Reign of Manasseh
recylsxpZLWlxVtrU,Prophecies of Nahum
recqjnBXaOQYKadrc,Death of Manasseh
rec1X3krfmWLAKJXU,Reign of Amon
recHieewSQcszdain,Death of Amon
recVf3eQjAq3nk94o,Reign of Josiah
rec5pDuWtEaOK7ehk,Prophecies of Jeremiah
recUkdsuAuRono8LY,Prophecies of Zephaniah
recsdAcHVpiiWFtm0,Death of Josiah
recmY05Xj0sxEcdCh,Reign of Johoahaz (Shallum)
reciunQ6bRGaY2gib,Reign of Jehoiakim
rece1avzrB0YDK1Ln,Prophecies of Habakkuk
rec3iJVpZspQM64qQ,Prophecies of Daniel
reczmi6XtMXALtcNn,Reign of Jeconiah
recW2cNLqUyMIV6O7,Reign of Zedekiah
recGUuZfUbylFAytG,Prophecies of Ezekiel
recdiXqPQiDIBRI0Q,Prophecies of Obadiah
recQPoA7fH3wJi7v2,Prophecies of Haggai
recebNaZjPvbOqk4r,Prophecies of Zechariah
recpSNqfLiST1KQqq,Prophecies of Malachi
recRd6H7B5gBuTYT9,Espousal of Mary
recOtonfrqZVuz2iF,John's birth predicted
recchK9PHoqttFTdX,An Angel Speaks to Joseph in a Dream
rec2xII53pVseJCB6,The Annuciation
recsMmYHDdduT021e,Mary Visits Elizabeth
recp7RblvtGupJInu,Birth of John the Baptist
rec2fX249sj1mmGFr,Wise Men Visit Herod
recVRh2awW5WGpXK4,Wise Men Visit Jesus
recHWkX7SvgnBZiuD,Joseph and Mary Flee to Egypt
rec78vW2GDruKkctf,Herod slays male children
recQdRNODeVwWG5Qx,Joseph and Mary return from Egypt
rec40p7ak4u60WdPB,Joseph and Mary return to Nazareth
recg5KKSE8un6XLe6,Birth of Jesus
recVUI3XqN3CdNF1k,Jesus Circumsized
recISCjAW413V6T1j,Temple Presentation of Jesus
recHiT0IbNNmDry0s,Childhood of Jesus
rec8FDMhG6menTpse,Jesus as a child in the Temple
rec8aq3QrGCer9RqY,Jesus Growing Up
recW9F8RuUqf5HZkd,John the Baptist Begins Ministry
rec8LSQHQdcYfC9La,John Baptizes Jesus
rec7GKv3V8PLB1Wk1,Temptations of Jesus
recThval8jPdpjMQd,Jesus Leaves Judea toward Galilee
recokV9koCd9sHkZo,Jesus visits Galilee
recfKYBkGyK1iVyQ7,Jesus in Capernaum
recYIGeTJrnJFAHyB,Fishers of Men
reczf8H4EoM3gfimU,Peter's Mother-in-law and Others Healed
recbsEPvWlO2Ajcfo,John the Baptist Imprisoned
recVzgELtu6c6u0JJ,The Demoniac
recDZ5yPUfsW2mQCB,Jesus Rejected at Nazareth
rec51NMfUoy8EBm5D,John's Witness
rec2rWYKV739WLO4b,First Disciples Gathered
recamPG0iyTXyCMRx,Water to Wine
recBwb7o0eXRqj1Oa,Visiting Capernaum
recajWYSuk71jMpgi,First Passover and Temple Cleansing
recqe4jV2tmZC9XuG,Jesus and Nicodemus
recj0lpW2pEiRfASU,John the Baptist Witnesses
recZVzEsSsBBuv6XX,The Samaritan Woman
rec5EydSXHdbLbzk1,Sermon on the Mount
recrx5gqQTez5Oz5h,Healing the Leper
rec6mNLyG5AVN4X1b,Healing Centurion's Servant
recY3vd5gVnwqoRV1,Gadarene Demoniacs
rec9Ni8NXcob4ou2m,Healing the Man with Palsy
recbiDrbxO70fDsta,Jesus Calls Matthew
recbt0ME8XMDoNbVc,Fasting Question
rec4P9y8WdotpjMm9,Parable of the Winseskins
recMTSIklCghjlACt,Capernaum Miracles
recSpTfIckUAeEOLd,Apostles Chosen
recdgE4vWpwc2fVpK,Jesus' Message on John the Baptist
recYaZ1gwefzzNB1V,Woe to Chorazin and Bethsaida
recDFt0ANS33dAxri,Corn on the Sabbath
reciGxBNHjPZwHKvO,Healing a Withered Hand
recpYSwD914PD9tHU,Healing Multitudes
recqkOAX88FDIN0ee,Blind and Dumb Demoniac and Following Discourse
rec7WzLFXKdweuzOD,Seaside Parables and Miracle
rechbRJbRUie1YGOk,Jesus' 1st Tour of Galilee
recsTeovHSah64TzF,Widow's Son Resurrected
recXZv0xfad7smkqB,Anointed by a Sinner Woman
recgL37NW080FcKh8,Jesus' 2nd Tour of Galilee
recGpBzggp7LyILNR,Bethesda pool healing
rec6tRRdOlOUY9UNN,3rd Tour of Galilee
recnCLTHvWRdrFwVY,2nd Rejection at Nazareth
rec5E1T7Mq1psBubn,John Beheaded
rec8AUk5qsGus2shA,Feeding of Five Thousand
recQ8WbFKwtwzK9Xm,Jesus Walks on Water
recXbkZXIXcuKVF6d,Healing in Gennesaret
recMCgwIq1sw9Q779,Bread of Life Sermon
recvfB75N6vrQwhWW,The Holy Spirit is promised
rec06pcAZBChUBKxF,Jesus ascends to Heaven
reczDqE366xgbgv2C,Matthias replaces Judas
recIu7xhASS4Ufyfd,The Holy Spirit comes
recQoK9KFveLh556S,Peter preaches at Pentecost
recVrh6Nbm3PruADf,The church grows
recLnDbrahKzEue0K,Lame man healed
reciu7dT92C4dTrfl,Peter preaches in Solomon's Portico
rech8qvzNnkDTqCi3,Peter and John's Trial
recNQxwdQFjZidQTP,Believers pray for boldness
rec5Y0EXegwQ5m9mX,Believers share all things
recnjhZVhcbtc7WL0,Ananias and Sapphira lie to God
rectkWZqlKG1cfOQT,Apostles work signs and wonders in Solomon's Portico
recCcRDJtUxaIqXnD,"Apostles arrested, put on trial"
rec1qE6wAe0XINRoV,Gamaliel advises the counsel and Apostles freed
recXUpfeHouc4qLEl,Seven chosen to serve
reclAFi4IpJvlWCDp,Stephen is seized
recNZVX1qwBc7F9AU,Stephen addresses the council
recgcZKRVZDvMUMOa,Stephen is stoned
recVjdJplfI1wSxYk,Saul persecutes the church
recP6mZs3oSlZdrT0,Philip preaches in Samaria
recvI0SgATGCasGsV,Conversion of Ethiopian Eunuch
recCz7opcoITkiZiq,Saul is converted
reczeOH6wbjkZHP1w,Saul proclaims Jesus
recxH9n2Xk1PM6DvB,Peter heals Aeneas and Dorcas
rec4fFrtrUuDVkTNK,Peter meets Cornelius
recCef9mlyuV3XWd3,Peter preaches to gentiles in Caesarea
recNnOBWct1TV6CUZ,Peter defends Gentile salvation
recn2U67FPmywxqcb,Disciples first called Christians
recCCk6aW2ZbOCRTd,Herod kills James
recDiHn0k1yUMCdjc,Herod imprisons Peter
recMhkv38hrlSmT3K,An angel rescues Peter from prison
recTAdkQX4sglPtLl,Herod dies
recJl6YAS1kSQ6t8W,First missionary journey begins
recUWXmZlrKxIx99u,First Missionary Journey
recJeAtSLg0KP2loe,Barnabas and Saul go to Cyprus
recGlchVqaW39mkY0,Mission to Antioch in Pisidia
receeGDZ90DJxYxnX,Mission to Iconium
recrre0r2IHdN3Y7Z,Mission to Lystra and Derbe
reckt5soySSqCZnoa,Return to Antioch in Syria
recwmsQ1HEDGztu9O,Jerusalem Council
reciR4wcxOAcLxak0,Second Missionary Journey
recW2x0namY3sL2iX,Paul and Barnabas part ways
reco0fEiYQ6hKFYc5,Paul Writes Galatians
recsnRcoxqD4pQGHp,Second Missionary Journey begins
recinOtqH81aspLoO,Timothy Joins Paul and Silas
recayBHkzCbMe6dnD,"Mission to Phrygia, Galatia and Asia"
recmIpAsHFs5pOzZ6,Call to Macedonia
reczE4p2AzSrs4ppP,Lydia's Conversion
rec1Olk9cxeWoT5Jl,Paul casts demon out of soothsayer
recVY5whVRxmh37rH,Paul and Silas imprisoned
recX4DzqXgIe0R2T4,Philippian jailer converted
rec611BDzVM1WOUa5,Paul and Silas released
recrnXnFkh9CGTgkn,Uproar in Thessalonica
recF289Cj0XMYVOmr,Mission to Berea
reclKAhjHwMnSyOB2,Paul preaches in Athens
recZLqdKx9mrT0bCv,"Mission to Corinth, 1&2 Thess Written"
recxAgEs5O3piUpAG,Return from Second Missionary Journey
receG7A0Y0VjWPff1,Third Missionary Journey Begins
rec4bAiAcAOo9mPwO,Third Missionary Journey
rec2buqN0Q38Yuqme,Mission to Ephesus/1 Cor Written
recl2rPfuRl5ZYiYP,Riot in Ephesus
recGXoNtdiKu28Wff,Mission to Macedonia and Greece
recCiHwYp3CSqFWrK,Eutychus revived
recbGb0Cb2yIRqmle,Voyage to Miletus
recwlxgjUu5AwPX9D,Paul speaks to Ephesian Elders
recxOoLkd6wFyKysC,Voyage from Miletus to Jerusalem
recYE6hOLCtnqejur,Paul visits elders in Jerusalem
recuV2kc7FiAUIuBQ,Paul arrested in the Temple
recR2Yyty10Qn41wQ,Paul gives his testimony
rec9DRZs8DbQy0fv5,Paul goes before the Council
rectG8MR4Z2zb8mwZ,The conspiracy to kill Paul
recODnfv69EyvRMvA,Paul sent to Felix
recjSyWPVWxolQ2r4,Paul appeals to Caesar
recZZnST3yj4b1akY,Agrippa and Bernice meet Festus
recltAvLmGRfERhYp,Paul goes before Agrippa
recJWNH2OCuUoOz6e,Journey to Rome begins
recAIElabptRPkpxz,Paul's Journey to Rome
recXiU82RVp1vo67a,Paul is shipwrecked by a storm
recXUXZhzA47ZRt5F,Paul stays at Malta
recuZhS7z4CatBOO0,Paul arrives at Rome
recGrIgOxWnxVl8h0,Paul's First Roman imprisonment
recah9fwlW8Xyk4gn,Commandments and Tradition Discourse
rec7Xd0T6QiyeeChg,Healing Canaanite Daughter
rechQpDJIE2FCEYTU,Healing a Crowd near Sea of Galilee
reccrRGqDRLWjCHog,Feeding of Four Thousand
recqtoV4JQiYCmkZN,Discourse with Pharisees and Saducees
rec1QOmEc6elW8boO,Healing a Blind Man at Bethsaida
recBuPmgXN9v9X6WI,"Peter's Confession ""Upon this Rock"""
rec4eZvHbmI1QToIw,Foretelling the Death and Resurrection
recbbehq3RkfnSmCE,The Transfiguation
recXhKGCw4B1CjXQB,Healing a Boy with a Demon
recyFfX2l12rwEkqk,Second Foretelling of Death and Resurrection
recvkY2icLy3QDClR,Tax Coin in a Fish's Mouth
recIZ6XquF0X7jaNE,Teachings on Humility/Temptation/Reconciliation
recZcjp3TlQQqapTX,Feast of Tabernacles
recWT2eiDCOXEAbGB,Woman Caught in Adultery
recD6VSiTfaITZLz4,Light of the World/I am discourse
recO855E9csJLnyFO,Samaritans Reject Jesus
rec5EAcIz2rHZRN8q,70 Sent Out
recm9poq0bKg2RuU5,Good Samaritan Parable Taught
recycS0pNycJe2Xet,Jesus meets Martha and Mary
reco0PVfMeFcQrURu,Lord's Prayer Taught
recxURN2uAbTe7CGr,Blind Man Healed
recs2ESnv8JHoLJNs,The Good Shepherd Teaching
recrSSo7ihKbdos1g,Woes and Parables with Pharisees
receThtYDpzQmFpc1,Healing Woman With 18-year Infirmity
recoUkvcVV6nR1G2D,Mustard Seed and Leaven Teaching
recs1VxMp6PJ11GLW,Feast of Dedication
rec70ZLu9pdrEWXR9,Teaching and Healing in Perea to Jerusalem
reclZp6jMKWzYmop9,Lazarus Raised form the Dead
recZhxqZJmXuGMdvd,Chief Priests Conspire Against Jesus
recMIEeRCAf7IGRwc,Jesus Withdraws to Ephraim
recTplXPehmPfFUiG,Lepers Healed
recrwlbTDWOETPpei,Discourse on the Kingdom and Other Parables
recR3zid90odgmB6g,Jesus Teaches in Perea
recN2veKNMtB7HzFi,Healing Blind Bartimaeus
reccSs8loWRLm8LAb,Zaccheus Converted and Parable of the Pounds
recrB2eWea9OCFtOz,Mary Anoints Jesus
recmXmhZt51doQu7o,Holy Week
recBsshyiGaHc6bgC,Triumphal Entry
rece7YQZcZkN73mF8,Temple Cleansed
recotN6XCwPBF0OzT,Fig Tree Cursed
recYOqX5Qe2a0FHvw,Teaching by the Fig Tree
recOZxrWd00qyF4Ej,Debates in the Temple
recN1gyMPKbPPQIMa,Olivet Discourse
recym9Dfibw7KdshX,Sanhedrin Conspiracy
rec3IGuoFfX4wwc0u,Judas Plans Betrayal
recehyRQPiIuEscz4,The Last Supper
recu6M6co9Iaw0Ow5,Upper Room Discourse
recNQ0XuoN4rfJR3o,Prayer and Betrayal in Gethsemane
recP6WhPl8eV4tavO,Jewish Trials
recUlD55WynUKdHAo,Roman Trials
recvsq3X87BSBcInj,Judas' Suicide
rec7pLeyxV0yEdrcl,Bearing Cross to Golgotha
rechX4p94qqiHLqLx,Crucifixion and Burial
recwQXXtK8ZbnYuIJ,Resurrection and Ascension
